concept_id,concept_name,standard_concept,standard_concept_caption,invalid_reason,invalid_reason_caption,concept_code,domain_id,vocabulary_id,concept_class_id,valid_start_date,valid_end_date
43259382,0.5 ML Sodium Chloride 9 MG/ML Ophthalmic Solution [Sodium Chloride Minims] Box of 20,S,Standard,V,Valid,OMOP559521,Drug,RxNorm Extension,Quant Branded Box,1503547200000,4102376400000
43264809,0.5 ML Sodium Chloride 9 MG/ML Ophthalmic Solution [Sodium Chloride Minims] Box of 20 by Bausch & Lomb,S,Standard,V,Valid,OMOP559522,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43259381,0.5 ML Sodium Chloride 9 MG/ML Ophthalmic Solution [Sodium Chloride Minims] by Bausch & Lomb,S,Standard,V,Valid,OMOP559520,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43165750,0.65 ML Sodium Chloride 9 MG/ML Ophthalmic Solution,S,Standard,V,Valid,OMOP507348,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43154753,0.65 ML Sodium Chloride 9 MG/ML Ophthalmic Solution Box of 20,S,Standard,V,Valid,OMOP507349,Drug,RxNorm Extension,Quant Clinical Box,1503547200000,4102376400000
43187716,0.65 ML Sodium Chloride 9 MG/ML Ophthalmic Solution [UNILARM],S,Standard,V,Valid,OMOP507350,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
43198724,0.65 ML Sodium Chloride 9 MG/ML Ophthalmic Solution [UNILARM] Box of 20,S,Standard,V,Valid,OMOP507351,Drug,RxNorm Extension,Quant Branded Box,1503547200000,4102376400000
43143609,0.65 ML Sodium Chloride 9 MG/ML Ophthalmic Solution [UNILARM] Box of 20 by Europhta,S,Standard,V,Valid,OMOP507352,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43865076,100000 MG Calcium Chloride 0.005 MG/MG / Potassium Chloride 0.005 MG/MG / Sodium Chloride 0.035 MG/MG Topical Ointment,S,Standard,V,Valid,OMOP823580,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43846759,100000 MG Calcium Chloride 0.005 MG/MG / Potassium Chloride 0.005 MG/MG / Sodium Chloride 0.035 MG/MG Topical Ointment [Jonen-Salbe],S,Standard,V,Valid,OMOP823581,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
43684879,100000 MG Calcium Chloride 0.005 MG/MG / Potassium Chloride 0.005 MG/MG / Sodium Chloride 0.035 MG/MG Topical Ointment [Jonen-Salbe] by Medphano,S,Standard,V,Valid,OMOP823582,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43198073,100000 MG domiphen 0.001 MG/MG / Sodium Chloride 0.15 MG/MG / Sodium Fluoride 0.00254 MG/MG Toothpaste,S,Standard,V,Valid,OMOP427752,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43165127,100000 MG domiphen 0.001 MG/MG / Sodium Chloride 0.15 MG/MG / Sodium Fluoride 0.00254 MG/MG Toothpaste Box of 1,S,Standard,V,Valid,OMOP427753,Drug,RxNorm Extension,Quant Clinical Box,1503547200000,4102376400000
43142961,100000 MG domiphen 0.001 MG/MG / Sodium Chloride 0.15 MG/MG / Sodium Fluoride 0.00254 MG/MG Toothpaste [FLUOSELGINE],S,Standard,V,Valid,OMOP427754,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
43142962,100000 MG domiphen 0.001 MG/MG / Sodium Chloride 0.15 MG/MG / Sodium Fluoride 0.00254 MG/MG Toothpaste [FLUOSELGINE] Box of 1,S,Standard,V,Valid,OMOP427755,Drug,RxNorm Extension,Quant Branded Box,1503547200000,4102376400000
43154125,100000 MG domiphen 0.001 MG/MG / Sodium Chloride 0.15 MG/MG / Sodium Fluoride 0.00254 MG/MG Toothpaste [FLUOSELGINE] Box of 1 by Teofarma,S,Standard,V,Valid,OMOP427756,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43045219,100000 MG domiphen 0.001 MG/MG / Sodium Chloride 0.15 MG/MG / Sodium Fluoride 0.00254 MG/MG Toothpaste [FLUOSELGINE] by Teofarma,S,Standard,V,Valid,OMOP4860218,Drug,RxNorm Extension,Marketed Product,1570334400000,4102376400000
43594831,100000 MG Glucose 0.774 MG/MG / Potassium Chloride 0.054 MG/MG / Sodium Chloride 0.125 MG/MG / sodium citrate 0.104 MG/MG Injectable Solution,S,Standard,V,Valid,OMOP825696,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43865154,100000 MG Glucose 0.774 MG/MG / Potassium Chloride 0.054 MG/MG / Sodium Chloride 0.125 MG/MG / sodium citrate 0.104 MG/MG Injectable Solution by Antonius-Apotheke,S,Standard,V,Valid,OMOP825704,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43810748,100000 MG Glucose 0.774 MG/MG / Potassium Chloride 0.054 MG/MG / Sodium Chloride 0.125 MG/MG / sodium citrate 0.104 MG/MG Injectable Solution by Apotheke,S,Standard,V,Valid,OMOP825705,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43702867,100000 MG Glucose 0.774 MG/MG / Potassium Chloride 0.054 MG/MG / Sodium Chloride 0.125 MG/MG / sodium citrate 0.104 MG/MG Injectable Solution by Bfarm Bundesinstitut Fuer Und Medizinprodukte,S,Standard,V,Valid,OMOP825701,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43684977,100000 MG Glucose 0.774 MG/MG / Potassium Chloride 0.054 MG/MG / Sodium Chloride 0.125 MG/MG / sodium citrate 0.104 MG/MG Injectable Solution by Dr. Maisenbachers neue Apotheke am Schloss,S,Standard,V,Valid,OMOP825717,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43792565,100000 MG Glucose 0.774 MG/MG / Potassium Chloride 0.054 MG/MG / Sodium Chloride 0.125 MG/MG / sodium citrate 0.104 MG/MG Injectable Solution by Fleethaus-Apotheke,S,Standard,V,Valid,OMOP825699,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43667048,100000 MG Glucose 0.774 MG/MG / Potassium Chloride 0.054 MG/MG / Sodium Chloride 0.125 MG/MG / sodium citrate 0.104 MG/MG Injectable Solution by Loewen-Apotheke,S,Standard,V,Valid,OMOP825707,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43756712,100000 MG Glucose 0.774 MG/MG / Potassium Chloride 0.054 MG/MG / Sodium Chloride 0.125 MG/MG / sodium citrate 0.104 MG/MG Injectable Solution by markt-apotheke,S,Standard,V,Valid,OMOP825708,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43828780,100000 MG Glucose 0.774 MG/MG / Potassium Chloride 0.054 MG/MG / Sodium Chloride 0.125 MG/MG / sodium citrate 0.104 MG/MG Injectable Solution by Mocho-Apotheke Thomas Pforr,S,Standard,V,Valid,OMOP825703,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
